'Number','Region','Date','Confirmed','Dead','Recovered'
1,'Vinnytsia',2020-01-22,0,0,0
1,'Vinnytsia',2020-01-23,0,0,0
1,'Vinnytsia',2020-01-24,0,0,0
1,'Vinnytsia',2020-01-25,0,0,0
1,'Vinnytsia',2020-01-26,0,0,0
1,'Vinnytsia',2020-01-27,0,0,0
1,'Vinnytsia',2020-01-28,0,0,0
1,'Vinnytsia',2020-01-29,0,0,0
1,'Vinnytsia',2020-01-30,0,0,0
1,'Vinnytsia',2020-01-31,0,0,0
1,'Vinnytsia',2020-02-01,0,0,0
1,'Vinnytsia',2020-02-02,0,0,0
1,'Vinnytsia',2020-02-03,0,0,0
1,'Vinnytsia',2020-02-04,0,0,0
1,'Vinnytsia',2020-02-05,0,0,0
1,'Vinnytsia',2020-02-06,0,0,0
1,'Vinnytsia',2020-02-07,0,0,0
1,'Vinnytsia',2020-02-08,0,0,0
1,'Vinnytsia',2020-02-09,0,0,0
1,'Vinnytsia',2020-02-10,0,0,0
1,'Vinnytsia',2020-02-11,0,0,0
1,'Vinnytsia',2020-02-12,0,0,0
1,'Vinnytsia',2020-02-13,0,0,0
1,'Vinnytsia',2020-02-14,0,0,0
1,'Vinnytsia',2020-02-15,0,0,0
1,'Vinnytsia',2020-02-16,0,0,0
1,'Vinnytsia',2020-02-17,0,0,0
1,'Vinnytsia',2020-02-18,0,0,0
1,'Vinnytsia',2020-02-19,0,0,0
1,'Vinnytsia',2020-02-20,0,0,0
1,'Vinnytsia',2020-02-21,0,0,0
1,'Vinnytsia',2020-02-22,0,0,0
1,'Vinnytsia',2020-02-23,0,0,0
1,'Vinnytsia',2020-02-24,0,0,0
1,'Vinnytsia',2020-02-25,0,0,0
1,'Vinnytsia',2020-02-26,0,0,0
1,'Vinnytsia',2020-02-27,0,0,0
1,'Vinnytsia',2020-02-28,0,0,0
1,'Vinnytsia',2020-02-29,0,0,0
1,'Vinnytsia',2020-03-01,0,0,0
1,'Vinnytsia',2020-03-02,0,0,0
1,'Vinnytsia',2020-03-03,0,0,0
1,'Vinnytsia',2020-03-04,0,0,0
1,'Vinnytsia',2020-03-05,0,0,0
1,'Vinnytsia',2020-03-06,0,0,0
1,'Vinnytsia',2020-03-07,0,0,0
1,'Vinnytsia',2020-03-08,0,0,0
1,'Vinnytsia',2020-03-09,0,0,0
1,'Vinnytsia',2020-03-10,0,0,0
1,'Vinnytsia',2020-03-11,0,0,0
1,'Vinnytsia',2020-03-12,0,0,0
1,'Vinnytsia',2020-03-13,0,0,0
1,'Vinnytsia',2020-03-14,0,0,0
1,'Vinnytsia',2020-03-15,0,0,0
1,'Vinnytsia',2020-03-16,0,0,0
1,'Vinnytsia',2020-03-17,0,0,0
1,'Vinnytsia',2020-03-18,0,0,0
1,'Vinnytsia',2020-03-19,0,0,0
1,'Vinnytsia',2020-03-20,0,0,0
1,'Vinnytsia',2020-03-21,0,0,0
1,'Vinnytsia',2020-03-22,0,0,0
1,'Vinnytsia',2020-03-23,0,0,0
1,'Vinnytsia',2020-03-24,0,0,0
1,'Vinnytsia',2020-03-25,1,0,0
1,'Vinnytsia',2020-03-26,12,0,0
1,'Vinnytsia',2020-03-27,3,0,0
1,'Vinnytsia',2020-03-28,7,0,0
1,'Vinnytsia',2020-03-29,0,0,0
1,'Vinnytsia',2020-03-30,13,0,0
1,'Vinnytsia',2020-03-31,14,0,0
1,'Vinnytsia',2020-04-01,4,0,0
1,'Vinnytsia',2020-04-02,7,0,0
1,'Vinnytsia',2020-04-03,5,0,0
1,'Vinnytsia',2020-04-04,8,0,1
1,'Vinnytsia',2020-04-05,0,0,0
1,'Vinnytsia',2020-04-06,6,0,1
1,'Vinnytsia',2020-04-07,8,0,1
1,'Vinnytsia',2020-04-08,14,0,1
1,'Vinnytsia',2020-04-09,17,0,3
1,'Vinnytsia',2020-04-10,33,0,3
1,'Vinnytsia',2020-04-11,42,0,4
1,'Vinnytsia',2020-04-12,0,0,0
1,'Vinnytsia',2020-04-13,19,0,1
1,'Vinnytsia',2020-04-14,31,0,1
1,'Vinnytsia',2020-04-15,38,0,0
1,'Vinnytsia',2020-04-16,17,0,13
1,'Vinnytsia',2020-04-17,23,0,1
1,'Vinnytsia',2020-04-18,11,0,2
1,'Vinnytsia',2020-04-19,0,2,0
1,'Vinnytsia',2020-04-20,8,0,3
1,'Vinnytsia',2020-04-21,12,1,3
1,'Vinnytsia',2020-04-22,9,0,7
1,'Vinnytsia',2020-04-23,13,0,6
1,'Vinnytsia',2020-04-24,9,0,5
1,'Vinnytsia',2020-04-25,7,0,8
1,'Vinnytsia',2020-04-26,10,0,0
1,'Vinnytsia',2020-04-27,9,0,28
1,'Vinnytsia',2020-04-28,6,0,9
1,'Vinnytsia',2020-04-29,7,0,26
1,'Vinnytsia',2020-04-30,7,0,17
1,'Vinnytsia',2020-05-01,1,0,0
1,'Vinnytsia',2020-05-02,9,0,1
1,'Vinnytsia',2020-05-03,12,1,0
1,'Vinnytsia',2020-05-04,6,1,70
1,'Vinnytsia',2020-05-05,22,0,3
1,'Vinnytsia',2020-05-06,8,0,32
1,'Vinnytsia',2020-05-07,31,0,27
1,'Vinnytsia',2020-05-08,8,0,0
1,'Vinnytsia',2020-05-09,28,1,13
1,'Vinnytsia',2020-05-10,8,0,18
1,'Vinnytsia',2020-05-11,39,0,0
1,'Vinnytsia',2020-05-12,41,0,0
1,'Vinnytsia',2020-05-13,23,0,46
1,'Vinnytsia',2020-05-14,15,1,9
1,'Vinnytsia',2020-05-15,35,2,21
1,'Vinnytsia',2020-05-16,18,2,0
1,'Vinnytsia',2020-05-17,7,0,1
1,'Vinnytsia',2020-05-18,22,0,19
1,'Vinnytsia',2020-05-19,11,2,20
1,'Vinnytsia',2020-05-20,26,0,1
1,'Vinnytsia',2020-05-21,33,1,16
1,'Vinnytsia',2020-05-22,34,1,24
1,'Vinnytsia',2020-05-23,29,0,7
1,'Vinnytsia',2020-05-24,12,0,0
1,'Vinnytsia',2020-05-25,20,0,10
1,'Vinnytsia',2020-05-26,15,0,19
1,'Vinnytsia',2020-05-27,12,1,35
1,'Vinnytsia',2020-05-28,8,0,21
1,'Vinnytsia',2020-05-29,27,0,0
1,'Vinnytsia',2020-05-30,8,0,0
1,'Vinnytsia',2020-05-31,28,0,32
1,'Vinnytsia',2020-06-01,15,0,32
1,'Vinnytsia',2020-06-02,18,0,38
1,'Vinnytsia',2020-06-03,29,0,19
1,'Vinnytsia',2020-06-04,17,1,20
1,'Vinnytsia',2020-06-05,21,0,24
1,'Vinnytsia',2020-06-06,23,1,0
1,'Vinnytsia',2020-06-07,21,1,7
1,'Vinnytsia',2020-06-08,25,1,0
1,'Vinnytsia',2020-06-09,27,0,39
1,'Vinnytsia',2020-06-10,58,0,41
1,'Vinnytsia',2020-06-11,56,0,24
1,'Vinnytsia',2020-06-12,34,1,18
1,'Vinnytsia',2020-06-13,34,2,0
1,'Vinnytsia',2020-06-14,21,0,11
2,'Volyn',2020-01-22,0,0,0
2,'Volyn',2020-01-23,0,0,0
2,'Volyn',2020-01-24,0,0,0
2,'Volyn',2020-01-25,0,0,0
2,'Volyn',2020-01-26,0,0,0
2,'Volyn',2020-01-27,0,0,0
2,'Volyn',2020-01-28,0,0,0
2,'Volyn',2020-01-29,0,0,0
2,'Volyn',2020-01-30,0,0,0
2,'Volyn',2020-01-31,0,0,0
2,'Volyn',2020-02-01,0,0,0
2,'Volyn',2020-02-02,0,0,0
2,'Volyn',2020-02-03,0,0,0
2,'Volyn',2020-02-04,0,0,0
2,'Volyn',2020-02-05,0,0,0
2,'Volyn',2020-02-06,0,0,0
2,'Volyn',2020-02-07,0,0,0
2,'Volyn',2020-02-08,0,0,0
2,'Volyn',2020-02-09,0,0,0
2,'Volyn',2020-02-10,0,0,0
2,'Volyn',2020-02-11,0,0,0
2,'Volyn',2020-02-12,0,0,0
2,'Volyn',2020-02-13,0,0,0
2,'Volyn',2020-02-14,0,0,0
2,'Volyn',2020-02-15,0,0,0
2,'Volyn',2020-02-16,0,0,0
2,'Volyn',2020-02-17,0,0,0
2,'Volyn',2020-02-18,0,0,0
2,'Volyn',2020-02-19,0,0,0
2,'Volyn',2020-02-20,0,0,0
2,'Volyn',2020-02-21,0,0,0
2,'Volyn',2020-02-22,0,0,0
2,'Volyn',2020-02-23,0,0,0
2,'Volyn',2020-02-24,0,0,0
2,'Volyn',2020-02-25,0,0,0
2,'Volyn',2020-02-26,0,0,0
2,'Volyn',2020-02-27,0,0,0
2,'Volyn',2020-02-28,0,0,0
2,'Volyn',2020-02-29,0,0,0
2,'Volyn',2020-03-01,0,0,0
2,'Volyn',2020-03-02,0,0,0
2,'Volyn',2020-03-03,0,0,0
2,'Volyn',2020-03-04,0,0,0
2,'Volyn',2020-03-05,0,0,0
2,'Volyn',2020-03-06,0,0,0
2,'Volyn',2020-03-07,0,0,0
2,'Volyn',2020-03-08,0,0,0
2,'Volyn',2020-03-09,0,0,0
2,'Volyn',2020-03-10,0,0,0
