Number;Region;data;confirmed;dead;recovered
1;Vinnytsia;22.01.20;0;0;0
1;Vinnytsia;23.01.20;0;0;0
1;Vinnytsia;24.01.20;0;0;0
1;Vinnytsia;25.01.20;0;0;0
1;Vinnytsia;26.01.20;0;0;0
1;Vinnytsia;27.01.20;0;0;0
1;Vinnytsia;28.01.20;0;0;0
1;Vinnytsia;29.01.20;0;0;0
1;Vinnytsia;30.01.20;0;0;0
1;Vinnytsia;31.01.20;0;0;0
1;Vinnytsia;01.02.20;0;0;0
1;Vinnytsia;02.02.20;0;0;0
1;Vinnytsia;03.02.20;0;0;0
1;Vinnytsia;04.02.20;0;0;0
1;Vinnytsia;05.02.20;0;0;0
1;Vinnytsia;06.02.20;0;0;0
1;Vinnytsia;07.02.20;0;0;0
1;Vinnytsia;08.02.20;0;0;0
1;Vinnytsia;09.02.20;0;0;0
1;Vinnytsia;10.02.20;0;0;0
1;Vinnytsia;11.02.20;0;0;0
1;Vinnytsia;12.02.20;0;0;0
1;Vinnytsia;13.02.20;0;0;0
1;Vinnytsia;14.02.20;0;0;0
1;Vinnytsia;15.02.20;0;0;0
1;Vinnytsia;16.02.20;0;0;0
1;Vinnytsia;17.02.20;0;0;0
1;Vinnytsia;18.02.20;0;0;0
1;Vinnytsia;19.02.20;0;0;0
1;Vinnytsia;20.02.20;0;0;0
1;Vinnytsia;21.02.20;0;0;0
1;Vinnytsia;22.02.20;0;0;0
1;Vinnytsia;23.02.20;0;0;0
1;Vinnytsia;24.02.20;0;0;0
1;Vinnytsia;25.02.20;0;0;0
1;Vinnytsia;26.02.20;0;0;0
1;Vinnytsia;27.02.20;0;0;0
1;Vinnytsia;28.02.20;0;0;0
1;Vinnytsia;29.02.20;0;0;0
1;Vinnytsia;01.03.20;0;0;0
1;Vinnytsia;02.03.20;0;0;0
1;Vinnytsia;03.03.20;0;0;0
1;Vinnytsia;04.03.20;0;0;0
1;Vinnytsia;05.03.20;0;0;0
1;Vinnytsia;06.03.20;0;0;0
1;Vinnytsia;07.03.20;0;0;0
1;Vinnytsia;08.03.20;0;0;0
1;Vinnytsia;09.03.20;0;0;0
1;Vinnytsia;10.03.20;0;0;0
1;Vinnytsia;11.03.20;0;0;0
1;Vinnytsia;12.03.20;0;0;0
1;Vinnytsia;13.03.20;0;0;0
1;Vinnytsia;14.03.20;0;0;0
1;Vinnytsia;15.03.20;0;0;0
1;Vinnytsia;16.03.20;0;0;0
1;Vinnytsia;17.03.20;0;0;0
1;Vinnytsia;18.03.20;0;0;0
1;Vinnytsia;19.03.20;0;0;0
1;Vinnytsia;20.03.20;0;0;0
1;Vinnytsia;21.03.20;0;0;0
1;Vinnytsia;22.03.20;0;0;0
1;Vinnytsia;23.03.20;0;0;0
1;Vinnytsia;24.03.20;0;0;0
1;Vinnytsia;25.03.20;1;0;0
1;Vinnytsia;26.03.20;12;0;0
1;Vinnytsia;27.03.20;3;0;0
1;Vinnytsia;28.03.20;7;0;0
1;Vinnytsia;29.03.20;0;0;0
1;Vinnytsia;30.03.20;13;0;0
1;Vinnytsia;31.03.20;14;0;0
1;Vinnytsia;01.04.20;4;0;0
1;Vinnytsia;02.04.20;7;0;0
1;Vinnytsia;03.04.20;5;0;0
1;Vinnytsia;04.04.20;8;0;1
1;Vinnytsia;05.04.20;0;0;0
1;Vinnytsia;06.04.20;6;0;1
1;Vinnytsia;07.04.20;8;0;1
1;Vinnytsia;08.04.20;14;0;1
1;Vinnytsia;09.04.20;17;0;3
1;Vinnytsia;10.04.20;33;0;3
1;Vinnytsia;11.04.20;42;0;4
1;Vinnytsia;12.04.20;0;0;0
1;Vinnytsia;13.04.20;19;0;1
1;Vinnytsia;14.04.20;31;0;1
1;Vinnytsia;15.04.20;38;0;0
1;Vinnytsia;16.04.20;17;0;13
1;Vinnytsia;17.04.20;23;0;1
1;Vinnytsia;18.04.20;11;0;2
1;Vinnytsia;19.04.20;0;2;0
1;Vinnytsia;20.04.20;8;0;3
1;Vinnytsia;21.04.20;12;1;3
1;Vinnytsia;22.04.20;9;0;7
1;Vinnytsia;23.04.20;13;0;6
1;Vinnytsia;24.04.20;9;0;5
1;Vinnytsia;25.04.20;7;0;8
1;Vinnytsia;26.04.20;10;0;0
1;Vinnytsia;27.04.20;9;0;28
1;Vinnytsia;28.04.20;6;0;9
1;Vinnytsia;29.04.20;7;0;26
1;Vinnytsia;30.04.20;7;0;17
1;Vinnytsia;01.05.20;1;0;0
1;Vinnytsia;02.05.20;9;0;1
1;Vinnytsia;03.05.20;12;1;0
1;Vinnytsia;04.05.20;6;1;70
1;Vinnytsia;05.05.20;22;0;3
1;Vinnytsia;06.05.20;8;0;32
1;Vinnytsia;07.05.20;31;0;27
1;Vinnytsia;08.05.20;8;0;0
1;Vinnytsia;09.05.20;28;1;13
1;Vinnytsia;10.05.20;8;0;18
1;Vinnytsia;11.05.20;39;0;0
1;Vinnytsia;12.05.20;41;0;0
1;Vinnytsia;13.05.20;23;0;46
1;Vinnytsia;14.05.20;15;1;9
1;Vinnytsia;15.05.20;35;2;21
1;Vinnytsia;16.05.20;18;2;0
1;Vinnytsia;17.05.20;7;0;1
1;Vinnytsia;18.05.20;22;0;19
1;Vinnytsia;19.05.20;11;2;20
1;Vinnytsia;20.05.20;26;0;1
1;Vinnytsia;21.05.20;33;1;16
1;Vinnytsia;22.05.20;34;1;24
1;Vinnytsia;23.05.20;29;0;7
1;Vinnytsia;24.05.20;12;0;0
1;Vinnytsia;25.05.20;20;0;10
1;Vinnytsia;26.05.20;15;0;19
1;Vinnytsia;27.05.20;12;1;35
1;Vinnytsia;28.05.20;8;0;21
1;Vinnytsia;29.05.20;27;0;0
1;Vinnytsia;30.05.20;8;0;0
1;Vinnytsia;31.05.20;28;0;32
1;Vinnytsia;01.06.20;15;0;32
1;Vinnytsia;02.06.20;18;0;38
1;Vinnytsia;03.06.20;29;0;19
1;Vinnytsia;04.06.20;17;1;20
1;Vinnytsia;05.06.20;21;0;24
1;Vinnytsia;06.06.20;23;1;0
1;Vinnytsia;07.06.20;21;1;7
1;Vinnytsia;08.06.20;25;1;0
1;Vinnytsia;09.06.20;27;0;39
1;Vinnytsia;10.06.20;58;0;41
1;Vinnytsia;11.06.20;56;0;24
1;Vinnytsia;12.06.20;34;1;18
1;Vinnytsia;13.06.20;34;2;0
1;Vinnytsia;14.06.20;21;0;11
2;Volyn;22.01.20;0;0;0
2;Volyn;23.01.20;0;0;0
2;Volyn;24.01.20;0;0;0
2;Volyn;25.01.20;0;0;0
2;Volyn;26.01.20;0;0;0
2;Volyn;27.01.20;0;0;0
2;Volyn;28.01.20;0;0;0
2;Volyn;29.01.20;0;0;0
2;Volyn;30.01.20;0;0;0
